customer_code,asm_area_name,asm_area_code,month,year,sec_netvalue,Bandhan_Net_Val,Wholesale_net_value,OtherPgrm_Net_Val,Non_Wholesale_net_value
357,Western UP,WESTU,9,2011,3637274.26,569863.06,986606.45,0,2650667.81
372,Vsjaywada,VIJA,11,2011,3787691.78,1036324.98,1742147.25,0,2045544.53
80,Pune North,PUNEN,11,2011,723049.98,0,389938.84,0,333111.14
541,Jharhhand,JHAR,12,2012,2308283.601,1441218.111,2001556.385,0,306727.216
1489,Mumbas 2,MUMB2,7,2012,2629175.254,358778.536,571651.751,0,2057523.503
357,Western UP,WESTU,11,2011,2970769.59,297128.27,692980.64,0,2277788.95
341,Vsjaywada,VIJA,6,2012,1452445.28,0,388525.41,0,1063919.87
1238,Pune South,PUNES,11,2012,2046284.779,675487.1,675487.1,0,1370797.679
2024,Nagpur,NAGP,6,2013,2089658.216,853720.695,1656969.505,0,432688.711
1896,Pune North,PUNEN,8,2013,6404050.222,2903635.44,3942636.13,0,2461414.092
1089,Vsjaywada,VIJA,8,2012,1321380.976,749588.32,905639.532,0,415741.444
343,Bengaq South,BENGS,1,2011,1214952.05,426934.17,536718.5,0,678233.55
93,Nagpur,NAGP,1,2011,4595518.53,2319686.86,3340837.47,0,1254681.06
419,Punjab,PUNJ,1,2011,2048104.95,0,188223.94,0,1859881.01
448,Pune North,PUNEN,12,2011,6891922.89,935926.82,1197904.37,0,5694018.52
1198,Pune North,PUNEN,2,2011,1397582.29,397675.62,842526.97,0,555055.32
2351,Gujarat North,GUJAN,10,2012,1030287.42,0,396415.21,0,633872.21
104,Chennas,CHEN,10,2012,1095051.07,4124.76,299750.076,0,795300.994
1649,Eastern MP,EASTM,2,2011,4725762.4,117312.56,1303166.26,0,3422596.14
90,Nagpur,NAGP,3,2012,957323.072,199340.4,438767.874,0,518555.198
1886,NER,NER,4,2012,2254867.12,0,1067512.67,0,1187354.45
86,Nagpur,NAGP,1,2013,1257114.941,457212.48,683103.67,0,574011.271
553,Vsjaywada,VIJA,5,2011,1048376.72,466656.2,571372.77,0,477003.95
83,Pune South,PUNES,6,2012,2119997.333,0,985186.576,0,1134810.757
86,Nagpur,NAGP,9,2012,1390925.116,311195.74,748810.414,0,642114.702
233,Punjab,PUNJ,1,2012,1501352.6,0,744745.28,0,756607.32
2308,Hyderabad 2,HYDE2,6,2013,1450786.727,244627.61,1104393.859,0,346392.868
475,Orsssa,ORIS,1,2012,1554341.66,0,209961.55,0,1344380.11
1051,Jharhhand,JHAR,1,2012,1633810.73,758353.18,776650.62,0,857160.11
45,Vsjaywada,VIJA,9,2012,2241387.396,685361.153,1195116.547,0,1046270.849
802,Bengaq North,BENGN,8,2012,1626012.733,1221557.292,1266375.296,0,359637.437
1853,Bshar West,BIHAW,7,2013,514568.3,103796.32,193177.16,0,321391.14
18,Bengaq South,BENGS,12,2012,3082768.293,438677.927,564133.999,0,2518634.294
394,Mumbas 2,MUMB2,8,2012,25022723.85,4191998.855,4393835.683,0,20628888.16
1282,Hyderabad 1,HYDE1,1,2013,6973944.519,1622906.491,2702773.866,0,4271170.653
276,Eastern UP,EASTU,2,2013,1753867.625,548141.607,859748.191,0,894119.434
345,Jharhhand,JHAR,12,2012,1989852.872,675877.685,1044188.452,0,945664.42
271,Western MP,WESTM,12,2011,1951824.88,973884.77,1367077.49,0,584747.39
1072,Pune South,PUNES,3,2013,1126388.189,339886.946,456792.361,0,669595.828
1817,Koqhata,KOLK,2,2012,11962461.19,2058951.56,3088842.74,0,8873618.45
1809,Deqhs Metro,DELHM,7,2013,2539385.61,75196.4,325736.706,0,2213648.904
1171,Pune North,PUNEN,7,2011,1634241.47,46804.48,1062949.88,0,571291.59
1621,Hubqs,HUBL,1,2011,4077549.15,0,1591793.51,0,2485755.64
748,Orsssa,ORIS,8,2013,1743750.213,964640.37,1353331.78,0,390418.433
166,Western UP,WESTU,6,2012,920263.832,0,393855.708,0,526408.124
292,Pune South,PUNES,12,2012,748729.555,120747.54,233205.367,0,515524.188
1186,Western MP,WESTM,4,2011,23140004.51,14461896.59,17024310.03,0,6115694.48
328,Pune South,PUNES,10,2013,1550535.857,0,669816.99,0,880718.867
1359,Orsssa,ORIS,6,2011,6444727.61,1172839.18,1197931.93,0,5246795.68
1281,Koqhata,KOLK,3,2012,2164918.068,95857.93,197242.311,0,1967675.757
2373,Bengaq North,BENGN,11,2012,399613.21,0,205807.14,0,193806.07
2145,Pune South,PUNES,6,2012,5699747.036,0,2163847.079,0,3535899.957
957,Jharhhand,JHAR,11,2012,1969845.487,58678.15,158096.117,0,1811749.37
1893,Vsjaywada,VIJA,3,2013,1300068.48,162002.07,497834.53,0,802233.95
1170,Cosmbatore,COIM,10,2011,737449.78,235707.67,299663.06,0,437786.72
850,Chennas,CHEN,7,2012,6151029.828,614852.433,1380607.655,0,4770422.173
2061,Centraq UP,CENTU,12,2013,761472.222,0,625186.944,0,136285.278
957,Jharhhand,JHAR,9,2012,3998812.245,147012.69,287223.783,0,3711588.462
2190,Western UP,WESTU,7,2013,426881.44,0,181846.344,0,245035.096
70,Eastern MP,EASTM,10,2011,5288650.08,2510898.19,2744576.71,0,2544073.37
167,Western UP,WESTU,8,2011,6316710.89,3579064.39,3839064.96,0,2477645.93
166,Western UP,WESTU,12,2012,835820.651,128829.641,401266.821,0,434553.83
22,Bengaq South,BENGS,1,2013,3666940.403,2354935.013,2681848.453,0,985091.95
91,Nagpur,NAGP,5,2012,1285885.44,0,854954.76,0,430930.68
2337,Haryana & HP,HARY&,3,2013,246538.31,0,79365.16,0,167173.15
419,Punjab,PUNJ,11,2013,3046425.71,0,436965.936,0,2609459.774
115,Rajasthan,RAJA,6,2012,1990800.028,0,1547144.339,0,443655.689
1556,Koqhata,KOLK,7,2012,16665216.24,13810085.8,15956716.78,0,708499.455
74,Eastern MP,EASTM,10,2011,1186820.4,354188.39,556463.93,0,630356.47
997,Gujarat South,GUJAS,6,2012,969963.18,0,420302.42,0,549660.76
302,Punjab,PUNJ,4,2013,653971.23,192713.04,325634.39,0,328336.84
553,Vsjaywada,VIJA,1,2012,1070010.64,293122.16,707880.05,0,362130.59
1852,Jharhhand,JHAR,2,2012,5.32,0,0,0,5.32
1203,Eastern UP,EASTU,4,2011,12282778.34,7400746.12,8771690.74,0,3511087.6
2458,Bangaqore,BANG,2,2013,1246479.21,0,20367.57,0,1226111.64
29,Bshar West,BIHAW,1,2012,5986512.808,291746.87,381932.69,0,5604580.118
523,Western MP,WESTM,12,2011,10506512,0,219597.16,0,10286914.84
254,Hyderabad 2,HYDE2,11,2012,1242602.59,0,458564.859,0,784037.731
2303,Eastern UP,EASTU,9,2013,1031801.402,534127.264,819383.986,0,212417.416
2177,Nagpur,NAGP,4,2013,3306939.71,437180.92,1136248.4,0,2170691.31
8,Jharhhand,JHAR,5,2013,6371571.546,30678.809,604260.33,0,5767311.216
2106,Punjab,PUNJ,12,2012,5562437.822,700517.002,2521395.221,0,3041042.601
29,Bshar West,BIHAW,2,2012,6537132.881,210531.02,367057.23,0,6170075.651
523,Western MP,WESTM,5,2013,7605163.503,157.71,1523.41,0,7603640.093
394,Mumbas 2,MUMB2,11,2012,20641895.66,3498634.368,4655497.653,0,15986398.01
135,Gujarat South,GUJAS,11,2012,2454664.113,523663.276,948853.242,0,1505810.871
330,Pune North,PUNEN,10,2011,2026581.97,1232037.69,1312895.52,0,713686.45
523,Western MP,WESTM,6,2012,5619714.956,0,92220.42,0,5527494.536
1809,Deqhs Metro,DELHM,9,2012,2915282.538,23360.48,477877.945,0,2437404.593
