customer_code,year,month,reason_code_description_new_new,order_qty_in_cases,allocated_qty_in_cases,non_allocated_qty_in_cases,simple avg allocated percent,simple avg allocated value percent,allocated_value,total_order_value
2032,2013,10,CREISS,22.0,0.0,22.0,0.0,0.0,0.0,76380.24
2612,2013,10,CREISS,74.0,0.0,74.0,0.0,0.0,0.0,230121.06
2674,2013,10,CREISS,55.0,0.0,55.0,0.0,0.0,0.0,144777.84
384,2013,10,STONOTAVA,39.53,0.0,39.53,0.0,0.0,0.0,125479.12
34,2013,10,STONOTAVA,22.54,0.0,22.54,0.0,0.0,0.0,80720.3
410,2013,10,STONOTAVA,1.0,0.0,1.0,0.0,0.0,0.0,2577.6
35,2013,10,STONOTAVA,69.2,0.0,69.2,0.0,0.0,0.0,210521.74
1806,2013,10,STONOTAVA,22.0,0.0,22.0,0.0,0.0,0.0,70820.04
2641,2013,10,STONOTAVA,12.12,0.0,12.12,0.0,0.0,0.0,37846.78
9,2013,10,MOQNOTMET,28.68,0.0,28.68,0.0,0.0,0.0,96727.04
1301,2013,10,STONOTAVA,40.0,0.0,40.0,0.0,0.0,0.0,147093.3
2520,2013,10,STONOTAVA,18.01,0.0,18.01,0.0,0.0,0.0,68336.84
400,2013,10,STONOTAVA,6.6,0.0,6.6,0.0,0.0,0.0,19718.17
964,2013,10,NOTINV,1.0,0.0,1.0,0.0,0.0,0.0,6145.44
2085,2013,10,NOTINV,1.0,0.0,1.0,0.0,0.0,0.0,3291.48
